N,E,psi,u,v,r
510.807,-198.317,3.09644,0.00036374,0,0,
509.954,-198.789,3.12429,0.000458149,0,0,
509.954,-198.789,3.12429,0.000458149,0,0,
510.603,-198.932,3.10401,0.000586052,0,0,
510.603,-198.932,3.10401,0.000586052,0,0,
510.8,-198.532,3.1025,0.00036374,0,0,
510.8,-198.532,3.1025,0.00036374,0,0,
509.556,-198.229,3.10952,0.00139169,0,0,
509.556,-198.229,3.10952,0.00139169,0,0,
510.467,-198.089,3.09984,-4.23083e-05,0,0,
510.467,-198.089,3.09984,-4.23083e-05,0,0,
510.406,-198.431,3.09249,0.00036374,0,0,
510.406,-198.431,3.09249,0.00036374,0,0,
510.48,-197.858,3.1213,-0.000361516,0,0,
510.48,-197.858,3.1213,-0.000361516,0,0,
510.479,-198.234,3.09243,0.00036374,0,0,
510.479,-198.234,3.09243,0.00036374,0,0,
510.008,-198.563,3.1316,0.000524663,0,0,
510.008,-198.563,3.1316,0.000524663,0,0,
510.403,-198.478,3.10293,-4.23083e-05,0,0,
510.403,-198.478,3.10293,-4.23083e-05,0,0,
510.565,-198.325,3.09874,-4.23083e-05,0,0,
510.565,-198.325,3.09874,-4.23083e-05,0,0,
510.512,-198.033,3.10555,-0.000266416,0,0,
510.512,-198.033,3.10555,-0.000266416,0,0,
510.371,-198.411,3.13319,-0.000361516,0,0,
510.371,-198.411,3.13319,-0.000361516,0,0,
510.593,-198.292,3.10748,-4.23083e-05,0,0,
510.593,-198.292,3.10748,-4.23083e-05,0,0,
510.532,-198.633,3.10013,0.00036374,0,0,
510.532,-198.633,3.10013,0.00036374,0,0,
510.544,-197.833,3.11867,-0.000266416,0,0,
510.544,-197.833,3.11867,-0.000266416,0,0,
510.569,-198.684,3.09739,0.000586052,0,0,
510.569,-198.684,3.09739,0.000586052,0,0,
510.645,-198.021,3.10712,-0.000266416,0,0,
510.645,-198.021,3.10712,-0.000266416,0,0,
510.201,-198.736,3.1348,0.000524663,0,0,
510.201,-198.736,3.1348,0.000524663,0,0,
510.503,-198.774,3.10589,0.00036374,0,0,
510.503,-198.774,3.10589,0.00036374,0,0,
510.759,-198.498,3.10194,-4.23083e-05,0,0,
510.759,-198.498,3.10194,-4.23083e-05,0,0,
510.678,-197.821,3.12024,-0.000266416,0,0,
510.678,-197.821,3.12024,-0.000266416,0,0,
510.702,-198.672,3.09897,0.000586052,0,0,
510.702,-198.672,3.09897,0.000586052,0,0,
510.122,-197.873,3.11442,-0.000266416,0,0,
510.122,-197.873,3.11442,-0.000266416,0,0,
510.405,-197.982,3.09899,-4.23083e-05,0,0,
510.405,-197.982,3.09899,-4.23083e-05,0,0,
510.144,-198.097,3.13787,-0.000361516,0,0,
510.144,-198.097,3.13787,-0.000361516,0,0,
511.052,-198.814,3.09913,0.000316752,0,0,
511.052,-198.814,3.09913,0.000316752,0,0,
510.064,-198.288,3.10492,0.00036374,0,0,
510.064,-198.288,3.10492,0.00036374,0,0,
510.319,-198.012,3.10097,-4.23083e-05,0,0,
510.319,-198.012,3.10097,-4.23083e-05,0,0,
510.258,-198.353,3.09362,0.00036374,0,0,
510.258,-198.353,3.09362,0.00036374,0,0,
510.393,-198.008,3.1327,-0.000361516,0,0,
510.393,-198.008,3.1327,-0.000361516,0,0,
510.357,-198.631,3.10116,0.000586052,0,0,
510.357,-198.631,3.10116,0.000586052,0,0,
510.554,-198.231,3.09964,0.00036374,0,0,
510.554,-198.231,3.09964,0.00036374,0,0,
510.083,-198.56,3.13881,0.000524663,0,0,
510.083,-198.56,3.13881,0.000524663,0,0,
510.349,-198.846,3.10722,0.000586052,0,0,
510.349,-198.846,3.10722,0.000586052,0,0,
510.64,-198.322,3.10595,-4.23083e-05,0,0,
510.64,-198.322,3.10595,-4.23083e-05,0,0,
510.708,-198.292,3.10151,0.00036374,0,0,
510.708,-198.292,3.10151,0.00036374,0,0,
509.855,-198.764,3.12936,0.000458149,0,0,
509.855,-198.764,3.12936,0.000458149,0,0,
510.504,-198.908,3.10909,0.000586052,0,0,
510.504,-198.908,3.10909,0.000586052,0,0,
510.794,-198.384,3.10782,-4.23083e-05,0,0,
510.794,-198.384,3.10782,-4.23083e-05,0,0,
510.733,-198.725,3.10047,0.00036374,0,0,
510.733,-198.725,3.10047,0.00036374,0,0,
