N,E,psi,u,v,r
531.636,-161.692,-2.13271,0.000458149,0,0,
531.636,-161.692,-2.13271,0.000458149,0,0,
532.419,-161.377,-2.16434,0.000586052,0,0,
532.419,-161.377,-2.16434,0.000586052,0,0,
531.601,-161.601,-2.13381,0.000458149,0,0,
531.601,-161.601,-2.13381,0.000458149,0,0,
532.25,-161.744,-2.15408,0.000586052,0,0,
532.25,-161.744,-2.15408,0.000586052,0,0,
532.447,-161.344,-2.1556,0.00036374,0,0,
532.447,-161.344,-2.1556,0.00036374,0,0,
532.48,-161.562,-2.16271,0.00036374,0,0,
532.48,-161.562,-2.16271,0.00036374,0,0,
532.492,-160.762,-2.14417,-0.000266416,0,0,
532.492,-160.762,-2.14417,-0.000266416,0,0,
531.932,-160.981,-2.15436,0.00036374,0,0,
531.932,-160.981,-2.15436,0.00036374,0,0,
532.364,-161.558,-2.16597,0.000316752,0,0,
532.364,-161.558,-2.16597,0.000316752,0,0,
532.098,-160.66,-2.15418,-0.000266416,0,0,
532.098,-160.66,-2.15418,-0.000266416,0,0,
531.958,-161.038,-2.12654,-0.000361516,0,0,
531.958,-161.038,-2.12654,-0.000361516,0,0,
532.357,-161.773,-2.15991,0.000316752,0,0,
532.357,-161.773,-2.15991,0.000316752,0,0,
532.212,-161.137,-2.15936,-4.23083e-05,0,0,
532.212,-161.137,-2.15936,-4.23083e-05,0,0,
532.28,-161.107,-2.16379,0.00036374,0,0,
532.28,-161.107,-2.16379,0.00036374,0,0,
531.809,-161.437,-2.12463,0.000524663,0,0,
531.809,-161.437,-2.12463,0.000524663,0,0,
532.076,-161.723,-2.15622,0.000586052,0,0,
532.076,-161.723,-2.15622,0.000586052,0,0,
532.367,-161.199,-2.15749,-4.23083e-05,0,0,
532.367,-161.199,-2.15749,-4.23083e-05,0,0,
532.434,-161.169,-2.16192,0.00036374,0,0,
532.434,-161.169,-2.16192,0.00036374,0,0,
531.963,-161.498,-2.12276,0.000524663,0,0,
531.963,-161.498,-2.12276,0.000524663,0,0,
